különböző, sokféle, más-más, eltérő 	verschieden
odavezet 	bringen zu, führen zu, herbeischaffen, holen
kéz 	Hand
mérnök 	Ingenieur
sajt 	Käse
dollár 	Dollar
jó napot kívánok, jó napot 	Guten Morgen; Guten Tag
baráti 	freundlich, freundschaftlich
iskola 	Schule
visz 	tragen
kép, festmény 	Ansicht, Bild
feljelentés, besúgás 	Anzeige
könyvtár 	Bibliothek; Bücherei
nagy 	groß
mi, mit 	was
férfi 	Mann
akar 	wollen
tíz 	zehn
jön 	kommen
kilenc 	neun
négy 	vier
gyermek 	Kind
öt 	fünf
vagy 	oder
nyolc 	acht
három 	drei
egy 	ein, eine, eins
kell, muszáj, kötelező 	müssen, sollen
után 	hinter, nach
kis 	gering, klein
mikor 	als, wann, wenn
nem 	kein, nicht; nein
kettő 	zwei
ki, ami, amely, melyik 	der, die, das; welcher, welche, welches; wer
ott, oda 	da, dort
amíg 	bis
lesz 	geschehen, vorkommen, werden
hat 	sechs
utazik 	fahren; reisen
kefe 	Bürste
képes 	begabt, fähig, imstande, tüchtig
mond, szól 	erwähnen, sagen
Portugália 	Portugal
madár 	Vogel
viszlát, viszontlátásra, a viszontlátásra 	adieu, auf Wiedersehen, lebe wohl
tartani 	halten, aufhalten
Svédország 	Schweden
Spanyolország 	Spanien
nagyon 	sehr
tegnap 	gestern
a 	der, die, das
és 	und
dátum 	Datum
érvel 	argumentieren, beweisen
villa 	Gabel
összehív 	mitnehmen
május 	Mai
tűz 	Feuer
hónap 	Monat
barátság 	Freundschaft
pénz 	Geld
szerző 	Autor, Urheber, Verfasser; Schriftsteller
unokafivér 	Cousin, Vetter
íz 	Aroma, Duft; Geschmack
taxi 	Taxe, Taxi
mérges, haragos 	arg, böse
szőke 	blond
dél 	Süden
bejárat 	Eingang
füst 	Rauch
ár 	Preis
megszüntet 	beenden, unterbrechen
általánosan, általában 	generell, überhaupt
ezer 	tausend
gyakran 	häufig, oft
forr 	kochen, sieden, brausen
ablak 	Fenster
kilogramm 	Kilogramm
gyönyörű 	hübsch, schön; herrlich, stattlich, wunderbar
főzelék, zöldség 	Gemüse
barna 	braun
jó 	gut, gütig
kitép 	entreißen
térkép 	Karte
vér 	Blut
külföld 	Ausland
dzsem, gyümölcsiz 	Konfitüre, Marmelade
szem 	Auge
él 	leben
reggelizik 	frühstücken
mellett 	an, bei, neben; zu
tiszta 	blank, rein, reinlich, sauber
arc 	Angesicht, Antlitz, Gesicht
rombol 	vernichten, zerstören
újság 	Journal, Zeitung
kenyér 	Brot
összeköt 	verbinden
játég 	Spielzeug
jég 	Eis
európai 	Europäer
nyájas, barátságosan, barátian 	freundlich
vásárol 	kaufen, sich kaufen, einkaufen
font 	Pfund
asztal 	Tisch
tető 	Dach
tej 	Milch
épület 	Bau, Bauwerk, Gebäude
minőség 	Beschaffenheit, Güte, Qualität
eszik 	essen, fressen, genießen, speisen
levél 	Blatt; Brief
magas 	erhaben, hoch
álom, 	ábrándkép Traum
rovar 	Insekt
sárga 	gelb
alja 	Boden, Grund
éjszaka 	Nacht
bárány 	Lamm
Afrika 	Afrika
kedd 	Dienstag
benzin 	Benzin
ország 	Land
Németország 	Deutschland
fogkefe 	Zahnbürste
színes, tarka 	bunt
elalszik 	einschlafen
tisztelet 	Ehre
tánc 	Tanz
holnapután 	übermorgen
szín 	Farbe
zene 	Musik
onnan 	daher
vendég 	Gast
semmi 	nichts
előtt 	jüngst, vor
kapu 	Tor
sonka 	Schinken
húsz 	zwanzig
szalad 	laufen
alkalmas 	tauglich, tüchtig
leültet, ültet 	setzen
út 	Bahn, Chaussee, Strecke, Weg
keményítő 	Kraftmehl, Stärke
pihen 	ruhen, sich ausruhen
édes 	süß
rátesz 	anziehen
közben, míg, alatt 	während
kitűnő 	ausgezeichnet, gediegen, trefflich, vortrefflich, vorzüglich
balkon, erkély 	Balkon
gramm 	Gramm
garázs 	Garage
szakáll 	Bart
nélkül 	ohne
káposzta 	Kohl
hegy 	Halde, Hügel; Berg
város 	Ort, Stadt
bélyeg 	Briefmarke
fém 	Metall
híd 	Brücke
üres 	leer
német 	deutsch; Deutsche; Deutscher
utálni 	hassen
labda, bál 	Ball
ceruza 	Bleistift
